fold,run,accuracy,precision,recall,f1_score
1,1,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,2,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,3,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,4,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,5,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,6,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,7,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,8,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,9,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,10,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,11,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,12,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,13,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,14,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,15,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,16,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,17,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,18,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,19,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,20,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,21,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,22,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,23,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,24,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,25,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,26,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,27,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,28,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,29,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,30,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,31,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,32,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,33,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,34,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,35,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,36,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,37,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,38,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,39,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
1,40,0.7447916666666666,0.6875,0.4925373134328358,0.5739130434782609
