fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
1,1,Baseline ACOR,0.5885416666666666,0.375,0.26865671641791045,0.3130434782608696,101,1.5569104320212581,False,1.4550400800226482
1,2,Baseline ACOR,0.6302083333333334,0.4666666666666667,0.417910447761194,0.4409448818897638,101,2.0464680698117013,False,1.4550400800226482
1,3,Baseline ACOR,0.515625,0.38181818181818183,0.6268656716417911,0.4745762711864407,101,1.6750587610053822,False,1.4550400800226482
1,4,Baseline ACOR,0.6354166666666666,0.48,0.5373134328358209,0.5070422535211268,0,1.360446555550634,True,1.4550400800226482
1,5,Baseline ACOR,0.6614583333333334,0.5192307692307693,0.40298507462686567,0.453781512605042,101,1.492104658196591,False,1.4550400800226482
1,6,Baseline ACOR,0.578125,0.4339622641509434,0.6865671641791045,0.5317919075144508,101,1.8521009253865752,False,1.4550400800226482
1,7,Baseline ACOR,0.6770833333333334,0.5862068965517241,0.2537313432835821,0.3541666666666667,101,1.7095239193912402,False,1.4550400800226482
1,8,Baseline ACOR,0.6510416666666666,0.5,0.13432835820895522,0.21176470588235294,0,1.3535183141972382,True,1.4550400800226482
1,9,Baseline ACOR,0.6458333333333334,0.4897959183673469,0.3582089552238806,0.41379310344827586,101,1.6616274539005116,False,1.4550400800226482
1,10,Baseline ACOR,0.5729166666666666,0.4117647058823529,0.5223880597014925,0.4605263157894737,101,1.6143339738883222,False,1.4550400800226482
1,11,Baseline ACOR,0.6770833333333334,0.631578947368421,0.1791044776119403,0.27906976744186046,0,1.0193088269098192,True,1.4550400800226482
1,12,Baseline ACOR,0.5989583333333334,0.391304347826087,0.26865671641791045,0.3185840707964602,101,1.6581178404956036,False,1.4550400800226482
1,13,Baseline ACOR,0.6614583333333334,0.5161290322580645,0.47761194029850745,0.49612403100775193,0,1.4313802142015932,True,1.4550400800226482
1,14,Baseline ACOR,0.6822916666666666,0.56,0.417910447761194,0.47863247863247865,0,1.4351648539345645,True,1.4550400800226482
1,15,Baseline ACOR,0.7291666666666666,0.7142857142857143,0.373134328358209,0.49019607843137253,0,1.3212699604310643,True,1.4550400800226482
1,16,Baseline ACOR,0.53125,0.3944954128440367,0.6417910447761194,0.48863636363636365,0,1.284900323696661,True,1.4550400800226482
1,17,Baseline ACOR,0.6041666666666666,0.45161290322580644,0.6268656716417911,0.525,101,1.7634193307485466,False,1.4550400800226482
1,18,Baseline ACOR,0.6510416666666666,0.5,0.3880597014925373,0.4369747899159664,101,1.5767350035152816,False,1.4550400800226482
1,19,Baseline ACOR,0.71875,0.6181818181818182,0.5074626865671642,0.5573770491803278,0,1.4474026667991826,True,1.4550400800226482
1,20,Baseline ACOR,0.6354166666666666,0.48623853211009177,0.7910447761194029,0.6022727272727273,0,1.2710725546794035,True,1.4550400800226482
1,21,Baseline ACOR,0.703125,0.6136363636363636,0.40298507462686567,0.4864864864864865,101,1.521473781489633,False,1.4550400800226482
1,22,Baseline ACOR,0.7552083333333334,0.7083333333333334,0.5074626865671642,0.591304347826087,0,1.1049895412070354,True,1.4550400800226482
1,23,Baseline ACOR,0.625,0.42424242424242425,0.208955223880597,0.28,0,0.9245766925260624,True,1.4550400800226482
1,24,Baseline ACOR,0.5833333333333334,0.41975308641975306,0.5074626865671642,0.4594594594594595,101,1.584688014432589,False,1.4550400800226482
1,25,Baseline ACOR,0.453125,0.3515625,0.6716417910447762,0.46153846153846156,101,1.6320351684610923,False,1.4550400800226482
